employee_id|start_date             |end_date               |job_id    |department_id|
-----------+-----------------------+-----------------------+----------+-------------+
        102|1993-01-13 00:00:00.000|1998-07-24 00:00:00.000|IT_PROG   |           60|
        101|1989-09-21 00:00:00.000|1993-10-27 00:00:00.000|AC_ACCOUNT|          110|
        101|1993-10-28 00:00:00.000|1997-03-15 00:00:00.000|AC_MGR    |          110|
        201|1996-02-17 00:00:00.000|1999-12-19 00:00:00.000|MK_REP    |           20|
        114|1998-03-24 00:00:00.000|1999-12-31 00:00:00.000|ST_CLERK  |           50|
        122|1999-01-01 00:00:00.000|1999-12-31 00:00:00.000|ST_CLERK  |           50|
        200|1987-09-17 00:00:00.000|1993-06-17 00:00:00.000|AD_ASST   |           90|
        176|1998-03-24 00:00:00.000|1998-12-31 00:00:00.000|SA_REP    |           80|
        176|1999-01-01 00:00:00.000|1999-12-31 00:00:00.000|SA_MAN    |           80|
        200|1994-07-01 00:00:00.000|1998-12-31 00:00:00.000|AC_ACCOUNT|           90|
        200|1999-04-01 00:00:00.000|1999-04-30 00:00:00.000|AC_ACCOUNT|           10|
